trace relationship count
icpe_trace-2_parquet 0:1 4198
pegasus_P1_parquet N:0 11
pegasus_P1_parquet N:1 99
pegasus_P1_parquet 1:N 4
pegasus_P1_parquet 0:N 1
pegasus_P1_parquet N:N 52
pegasus_P2_parquet 1:0 5808
pegasus_P2_parquet 0:N 5
pegasus_P3_parquet N:0 30
pegasus_P3_parquet N:1 492
pegasus_P3_parquet 0:N 14
pegasus_P3_parquet N:N 18
pegasus_P4_parquet N:1 7
pegasus_P4_parquet 1:1 23
pegasus_P4_parquet 1:0 1
pegasus_P4_parquet 0:N 1
pegasus_P4_parquet N:N 1
pegasus_P5_parquet N:0 48
pegasus_P5_parquet N:1 48
pegasus_P5_parquet 1:N 4
pegasus_P5_parquet 0:N 1
pegasus_P5_parquet N:N 32
pegasus_P6a_parquet N:0 1
pegasus_P6a_parquet N:1 523
pegasus_P6a_parquet 1:N 4
pegasus_P6a_parquet 0:N 1
pegasus_P6a_parquet N:N 13
pegasus_P6b_parquet N:0 1
pegasus_P6b_parquet N:1 521
pegasus_P6b_parquet 0:N 2
pegasus_P6b_parquet N:N 11
pegasus_P7_parquet N:0 612
pegasus_P7_parquet N:1 1095
pegasus_P7_parquet 1:1 48
pegasus_P7_parquet 1:N 54
pegasus_P7_parquet 0:N 38
pegasus_P7_parquet N:N 910
pegasus_P8_parquet N:1 14
pegasus_P8_parquet 1:1 3
pegasus_P8_parquet 1:0 3
pegasus_P8_parquet 0:N 2
pegasus_P8_parquet N:N 17
workflowhub_epigenomics_dataset-hep_chameleon-cloud_schema-0-2_epigenomics-hep-100000-cc-run005_parquet N:0 1
workflowhub_epigenomics_dataset-hep_chameleon-cloud_schema-0-2_epigenomics-hep-100000-cc-run005_parquet N:1 14
workflowhub_epigenomics_dataset-hep_chameleon-cloud_schema-0-2_epigenomics-hep-100000-cc-run005_parquet 1:1 7
workflowhub_epigenomics_dataset-hep_chameleon-cloud_schema-0-2_epigenomics-hep-100000-cc-run005_parquet 1:N 431
workflowhub_epigenomics_dataset-hep_chameleon-cloud_schema-0-2_epigenomics-hep-100000-cc-run005_parquet 0:N 1
